Area,Category,Item,Description,Date,Orders,Type of Order
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,27-03-2023,14,Takeaway
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,31-07-2023,127,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",13-02-2022,145,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,21-11-2021,169,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",06-05-2023,125,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",29-01-2023,94,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",11-07-2022,66,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",16-09-2022,54,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",30-07-2023,60,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,07-12-2022,67,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",15-11-2021,57,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,11-04-2023,175,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,02-10-2022,8,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,28-04-2023,98,Takeaway
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,29-06-2022,39,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,08-09-2023,81,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",08-11-2022,114,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,11-08-2023,31,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",03-12-2021,105,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,21-10-2023,196,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,20-04-2023,197,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,26-01-2022,56,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,14-01-2022,79,Takeaway
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,01-01-2022,25,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,14-08-2023,70,Online
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,11-01-2023,39,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,29-10-2023,21,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",14-12-2022,182,Takeaway
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,06-06-2023,174,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,21-04-2023,33,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-09-2023,138,Takeaway
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,25-07-2023,185,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",28-11-2021,194,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,07-11-2022,123,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,29-09-2023,91,Online
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,31-01-2022,15,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,24-04-2022,42,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,26-12-2021,61,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,11-04-2023,145,Dining
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,24-03-2022,91,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",25-07-2023,6,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,08-11-2021,16,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",06-06-2022,129,Takeaway
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,31-05-2023,173,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,26-10-2022,40,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,22-11-2021,72,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,10-10-2023,97,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,03-09-2023,43,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,19-03-2022,93,Dining
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,06-12-2022,189,Takeaway
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",26-06-2022,147,Takeaway
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,09-10-2023,99,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,16-02-2022,193,Dining
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,15-10-2023,126,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,22-02-2022,42,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,26-12-2021,158,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,28-08-2023,183,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",21-03-2022,179,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,20-03-2022,84,Online
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,19-10-2023,169,Online
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,21-10-2023,191,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,20-09-2023,125,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,17-09-2022,71,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,13-12-2022,138,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",19-04-2023,173,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",09-01-2022,21,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,17-03-2022,128,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,31-10-2023,144,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",25-02-2022,31,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",18-12-2021,63,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,06-08-2022,77,Dining
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,02-07-2022,156,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,27-01-2023,15,Takeaway
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,20-01-2022,26,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,20-07-2023,125,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,05-12-2022,48,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,27-04-2023,126,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,24-05-2022,13,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,10-01-2022,51,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,27-01-2022,75,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,13-01-2023,133,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,28-03-2022,141,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,22-02-2022,155,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,24-12-2022,75,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",13-12-2022,106,Dining
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,27-05-2023,38,Dining
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,29-09-2023,74,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",14-06-2022,134,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",25-03-2022,3,Dining
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,28-08-2022,140,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,10-02-2022,108,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",26-03-2023,35,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,11-07-2022,17,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,13-02-2022,156,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",30-12-2022,93,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,03-11-2022,41,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,18-10-2023,54,Dining
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,10-10-2023,2,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,12-11-2021,63,Takeaway
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",29-07-2023,27,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,27-05-2022,103,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,20-12-2021,157,Online
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",07-06-2023,144,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,05-05-2023,194,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,29-07-2022,125,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,07-09-2022,8,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-08-2022,147,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,11-04-2022,15,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,29-12-2022,70,Takeaway
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",14-09-2022,21,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,12-07-2023,65,Online
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,14-01-2022,140,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,14-01-2023,49,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,02-05-2023,160,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,25-03-2023,89,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",25-04-2023,155,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,13-12-2022,167,Takeaway
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,28-10-2022,142,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,30-03-2023,172,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,19-07-2023,19,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",12-07-2023,125,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,24-09-2023,117,Dining
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,09-05-2023,76,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-07-2023,135,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",31-10-2022,11,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,19-02-2023,162,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,03-09-2023,65,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,24-04-2023,84,Online
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,04-02-2023,136,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,04-06-2022,174,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,22-08-2022,132,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,18-01-2022,107,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,30-04-2022,60,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,03-01-2022,21,Dining
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,03-03-2022,9,Online
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,17-11-2022,20,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,13-03-2022,139,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",19-02-2022,146,Takeaway
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,30-11-2022,157,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,22-03-2023,76,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,04-04-2023,6,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,02-11-2021,125,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,28-04-2022,58,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-01-2022,175,Dining
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",19-09-2022,130,Takeaway
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,05-02-2023,145,Dining
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,13-01-2022,102,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,15-08-2023,179,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,14-10-2023,182,Takeaway
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",12-04-2023,164,Takeaway
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,11-05-2022,119,Online
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,02-01-2023,117,Online
